Timestamp,Lat,Long,Magnitude,Moonquake Type
1971-04-17T07:00:55,48.0,35.0,2.8,Shallow
1971-05-20T17:25:10,42.0,-24.0,2.0,Shallow
1971-07-11T13:24:45,43.0,-47.0,1.9,Shallow
1972-01-02T22:29:40,54.0,101.0,1.9,Shallow
1972-09-17T14:35:55,12.0,46.0,1.0,Shallow
1972-12-06T23:08:20,51.0,45.0,1.4,Shallow
1972-12-09T03:50:15,-20.0,-80.0,1.2,Shallow
1973-02-08T22:52:10,33.0,35.0,0.8,Shallow
1973-03-13T07:56:30,-84.0,-134.0,3.2,Shallow
1973-06-20T20:22:00,-1.0,-71.0,2.2,Shallow
1973-10-01T03:58:00,-37.0,-29.0,1.1,Shallow
1974-02-23T21:16:50,36.0,-16.0,0.7,Shallow
1974-03-27T09:11:00,-48.0,-106.0,1.6,Shallow
1974-04-19T13:35:15,-37.0,42.0,0.9,Shallow
1974-05-29T20:42:15,-8.9759,45.4986,0.6,Shallow
1974-07-11T00:46:30,21.0,88.0,2.7,Shallow
1975-01-03T01:42:00,29.0,-98.0,3.2,Shallow
1975-01-12T03:14:10,75.0,40.0,1.7,Shallow
1975-01-13T00:26:20,-2.0,-51.0,1.1,Shallow
1975-02-13T22:03:50,-19.0,-26.0,1.4,Shallow
1975-05-07T06:37:05,-49.0,-45.0,1.3,Shallow
1975-05-27T23:29:00,3.0,-58.0,1.4,Shallow
1975-11-10T07:52:55,-8.0,64.0,1.8,Shallow
1976-01-04T11:18:55,50.0,30.0,1.8,Shallow
1976-01-12T08:18:05,38.0,44.0,1.1,Shallow
1976-03-06T10:12:40,50.0,-20.0,2.3,Shallow
1976-03-08T14:42:10,-19.0,-12.0,1.8,Shallow
1976-05-16T12:32:40,77.0,-10.0,1.5,Shallow
